Module	Class	LOC	DuplicationFamilies	SameOwnerLayer	PressureType	DuplicationAmplification	Risk	Notes
db::schema::reconcile	M	583	2	yes	under-split residual	medium	low-medium	Root is now mostly orchestration/re-export after test suite relocation.
db::schema::reconcile::sql_ddl	M	417	1	yes	local wrapper repetition	low	low	Index/field addition/drop wrappers share transition/publication envelope helpers, entity-path access, and DROP INDEX ready-state diagnostics.
db::schema::reconcile::sql_ddl::field_metadata	M	504	1	yes	operation-validator repetition	low	low	Default/nullability/rename validators share one same-layout metadata-change walker; drop/default/rename share the checked publication shell; field drop stays explicit.
db::schema::reconcile::startup_field_path	M	644	1	yes	phase adapter repetition	low	low	Startup field-path reconciliation keeps accepted/generated boundary explicit.
db::schema::reconcile::startup_expression	M	514	1	yes	phase adapter repetition	low	low	Startup expression reconciliation mirrors field-path phase vocabulary by design.
db::schema::mutation::mod	M	692	1	yes	coordination hub	low	low	Mutation hub is narrowed by admission, execution, delta, and identity modules.
db::schema::mutation::ddl_admission	M	422	1	yes	decision matrix	low	low	Version/fingerprint admission is centralized.
db::schema::mutation::execution	M	611	1	yes	execution contracts	low	low	Runner gates and preflight contracts remain schema-owned.
db::schema::mutation::identity	M	302	1	yes	identity contracts	low	low	Typed fingerprints and runtime publication identity are localized.
db::relation::save_validate	M	607	1	yes	relation tuple facts	low	low	Save validation consumes shared scalar/tuple target descriptors and uses local runtime descriptor constructors.
db::relation::reverse_index	M	1260	1	yes	relation tuple facts	low	low	Reverse-index preparation consumes shared scalar/tuple target descriptors and uses local runtime descriptor constructors.
db::relation::mod	M	650	1	yes	shared relation helpers	low	low	Accepted scalar and tuple relation target descriptors are shared from the relation owner.
db::session::sql::execute	M	1031	1	yes	result shell mapping	low	low	SQL write metric/cache and metadata result/cache handling now use shared helpers; remaining facade shells are routing-specific.
