enum	module	file	line	site_kind	site_text	included_reason
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	95	match-arm-or-constructor	return Err(AccessPlanError::PrimaryKeyNotKeyable {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	110	match-arm-or-constructor	return Err(AccessPlanError::PrimaryKeyMismatch {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	116	match-arm-or-constructor	return Err(AccessPlanError::PrimaryKeyMismatch {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	137	match-arm-or-constructor	.ok_or_else(|| AccessPlanError::PrimaryKeyNotKeyable {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	142	match-arm-or-constructor	return Err(AccessPlanError::PrimaryKeyNotKeyable {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	148	match-arm-or-constructor	return Err(AccessPlanError::PrimaryKeyMismatch {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	164	match-arm-or-constructor	return Err(AccessPlanError::PrimaryKeyNotKeyable {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	184	match-arm-or-constructor	return Err(AccessPlanError::IndexNotFound {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	190	match-arm-or-constructor	return Err(AccessPlanError::IndexPrefixEmpty);	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	194	match-arm-or-constructor	return Err(AccessPlanError::IndexPrefixTooLong {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	202	match-arm-or-constructor	return Err(AccessPlanError::IndexPrefixTooLong {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	210	match-arm-or-constructor	.ok_or_else(|| AccessPlanError::IndexPrefixValueMismatch {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	215	match-arm-or-constructor	return Err(AccessPlanError::IndexPrefixValueMismatch {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	232	match-arm-or-constructor	return Err(AccessPlanError::IndexNotFound {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	238	match-arm-or-constructor	return Err(AccessPlanError::IndexPrefixEmpty);	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	242	match-arm-or-constructor	return Err(AccessPlanError::IndexPrefixTooLong {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	250	match-arm-or-constructor	.ok_or_else(|| AccessPlanError::IndexPrefixValueMismatch {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	256	match-arm-or-constructor	return Err(AccessPlanError::IndexPrefixValueMismatch {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	277	match-arm-or-constructor	return Err(AccessPlanError::IndexNotFound {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	283	match-arm-or-constructor	return Err(AccessPlanError::IndexPrefixTooLong {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	291	match-arm-or-constructor	return Err(AccessPlanError::InvalidKeyRange);	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	295	match-arm-or-constructor	return Err(AccessPlanError::InvalidKeyRange);	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	301	match-arm-or-constructor	return Err(AccessPlanError::IndexPrefixTooLong {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	309	match-arm-or-constructor	.ok_or_else(|| AccessPlanError::IndexPrefixValueMismatch {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	314	match-arm-or-constructor	return Err(AccessPlanError::IndexPrefixValueMismatch {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	324	match-arm-or-constructor	return Err(AccessPlanError::IndexPrefixTooLong {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	341	match-arm-or-constructor	return Err(AccessPlanError::InvalidKeyRange);	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	379	match-arm-or-constructor	.ok_or_else(|| AccessPlanError::IndexPrefixValueMismatch {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	387	match-arm-or-constructor	Err(AccessPlanError::IndexPrefixValueMismatch {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	400	match-arm-or-constructor	return Err(AccessPlanError::CompositePrimaryKeyRangeUnsupported {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	409	match-arm-or-constructor	return Err(AccessPlanError::InvalidKeyRange);	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	493	match-arm-or-constructor	return Err(AccessPlanError::IndexPrefixEmpty);	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	509	match-arm-or-constructor	return Err(AccessPlanError::CompositePrimaryKeyRangeUnsupported {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	516	match-arm-or-constructor	return Err(AccessPlanError::InvalidKeyRange);	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	536	match-arm-or-constructor	Err(AccessPlanError::IndexNotFound {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	546	match-arm-or-constructor	return Err(AccessPlanError::IndexPrefixEmpty);	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	551	match-arm-or-constructor	return Err(AccessPlanError::IndexPrefixTooLong {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	572	match-arm-or-constructor	return Err(AccessPlanError::IndexPrefixTooLong {	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	580	match-arm-or-constructor	return Err(AccessPlanError::InvalidKeyRange);	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	584	match-arm-or-constructor	return Err(AccessPlanError::InvalidKeyRange);	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	597	match-arm-or-constructor	return Err(AccessPlanError::InvalidKeyRange);	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	659	if-let-or-matches	std::assert_matches!(err, AccessPlanError::PrimaryKeyMismatch { .. });	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	699	if-let-or-matches	std::assert_matches!(err, AccessPlanError::PrimaryKeyMismatch { .. });	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	722	if-let-or-matches	std::assert_matches!(err, AccessPlanError::PrimaryKeyMismatch { .. });	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	734	if-let-or-matches	std::assert_matches!(err, AccessPlanError::PrimaryKeyMismatch { .. });	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	746	if-let-or-matches	std::assert_matches!(err, AccessPlanError::PrimaryKeyMismatch { .. });	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	762	match-arm-or-constructor	AccessPlanError::CompositePrimaryKeyRangeUnsupported { .. }	semi-mechanical direct enum-qualified reference
PlanError	db::access::validate	crates/icydb-core/src/db/access/validate.rs	779	match-arm-or-constructor	AccessPlanError::CompositePrimaryKeyRangeUnsupported { .. }	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	122	match-arm-or-constructor	.map_err(CursorPlanError::index_range_anchor_decode_failed)?;	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	130	match-arm-or-constructor	return Err(CursorPlanError::index_range_anchor_canonical_encoding_mismatch());	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	149	match-arm-or-constructor	return Err(CursorPlanError::index_range_anchor_index_id_mismatch());	semi-mechanical direct enum-qualified reference
