module_path	file	layer	imports_from_layers	upward_imports	cross_layer_imports	violations
db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	access	query/plan,access	1	1	upward-import,cross-layer-semantic-mix
db::access::capabilities	crates/icydb-core/src/db/access/capabilities.rs	access	access	0	0	none
db::access::dispatch	crates/icydb-core/src/db/access/dispatch.rs	access	access	0	0	none
db::access::execution_contract::executable	crates/icydb-core/src/db/access/execution_contract/executable.rs	access	access	0	0	none
db::access::execution_contract	crates/icydb-core/src/db/access/execution_contract/mod.rs	access		0	0	none
db::access::execution_contract::pushdown	crates/icydb-core/src/db/access/execution_contract/pushdown.rs	access	query/plan,access	1	1	upward-import,cross-layer-semantic-mix
db::access::execution_contract::route	crates/icydb-core/src/db/access/execution_contract/route.rs	access	query/plan,access	1	1	upward-import,cross-layer-semantic-mix
db::access::execution_contract::strategy	crates/icydb-core/src/db/access/execution_contract/strategy.rs	access	access	0	0	none
db::access::execution_contract::summary	crates/icydb-core/src/db/access/execution_contract/summary.rs	access	access	0	0	none
db::access::execution_contract::types	crates/icydb-core/src/db/access/execution_contract/types.rs	access		0	0	none
db::access::lowering	crates/icydb-core/src/db/access/lowering.rs	access	access,index/storage	0	5	cross-layer-semantic-mix
db::access	crates/icydb-core/src/db/access/mod.rs	access		0	0	none
db::access::path	crates/icydb-core/src/db/access/path.rs	access		0	0	none
db::access::plan	crates/icydb-core/src/db/access/plan.rs	access	access	0	0	none
db::access::validate	crates/icydb-core/src/db/access/validate.rs	access	access	0	0	none
db::codec::cursor	crates/icydb-core/src/db/codec/cursor.rs	codec	executor	1	1	upward-import,cross-layer-semantic-mix
db::codec::hash_stream	crates/icydb-core/src/db/codec/hash_stream.rs	codec		0	0	none
db::codec	crates/icydb-core/src/db/codec/mod.rs	codec	codec	0	0	none
db::commit::apply	crates/icydb-core/src/db/commit/apply.rs	index/storage	index/storage	0	0	none
db::commit::guard	crates/icydb-core/src/db/commit/guard.rs	index/storage	index/storage	0	0	none
db::commit::hooks	crates/icydb-core/src/db/commit/hooks.rs	index/storage	index/storage	0	0	none
db::commit::marker	crates/icydb-core/src/db/commit/marker.rs	index/storage	index/storage,codec	0	1	cross-layer-semantic-mix
db::commit::memory	crates/icydb-core/src/db/commit/memory.rs	index/storage	index/storage	0	0	none
db::commit	crates/icydb-core/src/db/commit/mod.rs	index/storage		0	0	none
db::commit::prepare	crates/icydb-core/src/db/commit/prepare.rs	index/storage	index/storage,codec	0	1	cross-layer-semantic-mix
db::commit::prepared_op	crates/icydb-core/src/db/commit/prepared_op.rs	index/storage	index/storage	0	0	none
db::commit::rebuild	crates/icydb-core/src/db/commit/rebuild.rs	index/storage	index/storage	0	0	none
db::commit::recovery	crates/icydb-core/src/db/commit/recovery.rs	index/storage	index/storage	0	0	none
db::commit::replay	crates/icydb-core/src/db/commit/replay.rs	index/storage	index/storage	0	0	none
db::commit::rollback	crates/icydb-core/src/db/commit/rollback.rs	index/storage	index/storage	0	0	none
db::commit::store	crates/icydb-core/src/db/commit/store.rs	index/storage	index/storage,codec	0	5	cross-layer-semantic-mix
db::contracts	crates/icydb-core/src/db/contracts/mod.rs	support		0	0	none
db::contracts::rules	crates/icydb-core/src/db/contracts/rules.rs	support		0	0	none
db::contracts::semantics	crates/icydb-core/src/db/contracts/semantics.rs	support		0	0	none
db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	executor	executor,index/storage	0	9	cross-layer-semantic-mix
db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	executor	query/plan,executor	2	2	upward-import,cross-layer-semantic-mix
db::cursor::continuation	crates/icydb-core/src/db/cursor/continuation.rs	executor	query/plan,access,executor,index/storage	5	7	upward-import,cross-layer-semantic-mix
db::cursor::envelope	crates/icydb-core/src/db/cursor/envelope.rs	executor	index/storage	0	7	cross-layer-semantic-mix
db::cursor::error	crates/icydb-core/src/db/cursor/error.rs	executor	executor,codec	0	1	cross-layer-semantic-mix
db::cursor	crates/icydb-core/src/db/cursor/mod.rs	executor	query/plan,executor,codec	3	4	upward-import,cross-layer-semantic-mix
db::cursor::order	crates/icydb-core/src/db/cursor/order.rs	executor	query/plan,executor	2	2	upward-import,cross-layer-semantic-mix
db::cursor::planned	crates/icydb-core/src/db/cursor/planned.rs	executor	executor	0	0	none
db::cursor::range_token	crates/icydb-core/src/db/cursor/range_token.rs	executor	access,executor,index/storage	1	2	upward-import,cross-layer-semantic-mix
db::cursor::resume	crates/icydb-core/src/db/cursor/resume.rs	executor	query/plan,executor	2	2	upward-import,cross-layer-semantic-mix
db::cursor::runtime	crates/icydb-core/src/db/cursor/runtime.rs	executor	query/plan,executor,index/storage	2	3	upward-import,cross-layer-semantic-mix
db::cursor::signature	crates/icydb-core/src/db/cursor/signature.rs	executor		0	0	none
db::cursor::spine	crates/icydb-core/src/db/cursor/spine.rs	executor	query/plan,executor	1	1	upward-import,cross-layer-semantic-mix
db::cursor::token::error	crates/icydb-core/src/db/cursor/token/error.rs	executor		0	0	none
db::cursor::token::grouped	crates/icydb-core/src/db/cursor/token/grouped.rs	executor	executor,codec	0	3	cross-layer-semantic-mix
db::cursor::token	crates/icydb-core/src/db/cursor/token/mod.rs	executor		0	0	none
db::cursor::token::scalar	crates/icydb-core/src/db/cursor/token/scalar.rs	executor	executor,codec	0	3	cross-layer-semantic-mix
db::cursor::token::wire	crates/icydb-core/src/db/cursor/token/wire.rs	executor	executor	0	0	none
db::cursor::validation	crates/icydb-core/src/db/cursor/validation.rs	executor	query/plan,executor	2	2	upward-import,cross-layer-semantic-mix
db::data::entity_decode	crates/icydb-core/src/db/data/entity_decode.rs	index/storage	index/storage	0	0	none
db::data::key	crates/icydb-core/src/db/data/key.rs	index/storage		0	0	none
db::data	crates/icydb-core/src/db/data/mod.rs	index/storage		0	0	none
db::data::row	crates/icydb-core/src/db/data/row.rs	index/storage	index/storage,codec	0	2	cross-layer-semantic-mix
db::data::store	crates/icydb-core/src/db/data/store.rs	index/storage	index/storage	0	0	none
db::diagnostics::execution_trace	crates/icydb-core/src/db/diagnostics/execution_trace.rs	support	query/plan,access	0	0	none
db::diagnostics	crates/icydb-core/src/db/diagnostics/mod.rs	support	index/storage	0	0	none
db::direction	crates/icydb-core/src/db/direction.rs	support		0	0	none
db::error::access	crates/icydb-core/src/db/error/access.rs	support	access	0	0	none
db::error::cursor	crates/icydb-core/src/db/error/cursor.rs	support	executor	0	0	none
db::error::executor	crates/icydb-core/src/db/error/executor.rs	support		0	0	none
db::error	crates/icydb-core/src/db/error/mod.rs	support		0	0	none
db::error::planner	crates/icydb-core/src/db/error/planner.rs	support	query/plan	0	0	none
db::error::query	crates/icydb-core/src/db/error/query.rs	support		0	0	none
db::executor::aggregate::capability	crates/icydb-core/src/db/executor/aggregate/capability.rs	executor	query/plan,executor	2	2	upward-import,cross-layer-semantic-mix
db::executor::aggregate::contracts::error	crates/icydb-core/src/db/executor/aggregate/contracts/error.rs	executor		0	0	none
db::executor::aggregate::contracts::grouped::context	crates/icydb-core/src/db/executor/aggregate/contracts/grouped/context.rs	executor	executor	0	0	none
db::executor::aggregate::contracts::grouped::engine	crates/icydb-core/src/db/executor/aggregate/contracts/grouped/engine.rs	executor	executor,index/storage	0	1	cross-layer-semantic-mix
db::executor::aggregate::contracts::grouped	crates/icydb-core/src/db/executor/aggregate/contracts/grouped/mod.rs	executor		0	0	none
db::executor::aggregate::contracts	crates/icydb-core/src/db/executor/aggregate/contracts/mod.rs	executor		0	0	none
db::executor::aggregate::contracts::spec	crates/icydb-core/src/db/executor/aggregate/contracts/spec.rs	executor	query/plan	1	1	upward-import,cross-layer-semantic-mix
db::executor::aggregate::contracts::state	crates/icydb-core/src/db/executor/aggregate/contracts/state.rs	executor	executor,index/storage	0	1	cross-layer-semantic-mix
db::executor::aggregate::distinct	crates/icydb-core/src/db/executor/aggregate/distinct.rs	executor	query/plan,executor	3	3	upward-import,cross-layer-semantic-mix
db::executor::aggregate::execution	crates/icydb-core/src/db/executor/aggregate/execution.rs	executor	query/plan,executor,index/storage	2	3	upward-import,cross-layer-semantic-mix
db::executor::aggregate::fast_path	crates/icydb-core/src/db/executor/aggregate/fast_path.rs	executor	query/plan,executor,index/storage	1	2	upward-import,cross-layer-semantic-mix
db::executor::aggregate::field	crates/icydb-core/src/db/executor/aggregate/field/mod.rs	executor	query/plan,executor	1	1	upward-import,cross-layer-semantic-mix
db::executor::aggregate::field_extrema	crates/icydb-core/src/db/executor/aggregate/field_extrema.rs	executor	executor,index/storage	0	1	cross-layer-semantic-mix
db::executor::aggregate::helpers	crates/icydb-core/src/db/executor/aggregate/helpers.rs	executor	executor	0	0	none
db::executor::aggregate::materialized_distinct	crates/icydb-core/src/db/executor/aggregate/materialized_distinct.rs	executor	executor	0	0	none
db::executor::aggregate	crates/icydb-core/src/db/executor/aggregate/mod.rs	executor	query/plan,executor,index/storage	1	3	upward-import,cross-layer-semantic-mix
db::executor::aggregate::numeric	crates/icydb-core/src/db/executor/aggregate/numeric.rs	executor	query/plan,access,executor	3	3	upward-import,cross-layer-semantic-mix
db::executor::aggregate::projection::covering	crates/icydb-core/src/db/executor/aggregate/projection/covering.rs	executor	query/plan,access,executor	5	5	upward-import,cross-layer-semantic-mix
db::executor::aggregate::projection::decode	crates/icydb-core/src/db/executor/aggregate/projection/decode.rs	executor		0	0	none
