module	file	loc	match_count	match_arms_total	avg_match_arms	if_count	if_chain_count	max_branch_depth	fanout	branch_sites_total
db::sql::parser::projection	crates/icydb-core/src/db/sql/parser/projection.rs	908	11	63	5.73	63	63	3	2	74
db::query::plan::expr::canonicalize	crates/icydb-core/src/db/query/plan/expr/canonicalize.rs	996	34	162	4.76	30	30	2	2	64
db::executor::aggregate::contracts::state	crates/icydb-core/src/db/executor/aggregate/contracts/state.rs	868	32	101	3.16	32	30	2	4	62
db::data::structural_field::value_storage	crates/icydb-core/src/db/data/structural_field/value_storage.rs	1439	11	75	6.82	47	45	2	4	56
db::query::plan::expr::type_inference	crates/icydb-core/src/db/query/plan/expr/type_inference/mod.rs	847	23	120	5.22	32	30	3	3	53
db::sql::lowering::aggregate	crates/icydb-core/src/db/sql/lowering/aggregate.rs	1272	12	62	5.17	33	33	2	3	45
db::query::plan::access_choice::evaluator::range	crates/icydb-core/src/db/query/plan/access_choice/evaluator/range.rs	407	10	26	2.60	34	34	3	2	44
value	crates/icydb-core/src/value/mod.rs	856	21	135	6.43	20	20	2	3	41
db::query::plan::expr::predicate_compile	crates/icydb-core/src/db/query/plan/expr/predicate_compile.rs	730	26	111	4.27	14	14	2	2	40
db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	365	10	39	3.90	30	30	2	3	40
db::executor::aggregate::scalar_terminals	crates/icydb-core/src/db/executor/aggregate/scalar_terminals.rs	996	15	46	3.07	20	20	3	6	35
db::query::plan::expr::projection_eval	crates/icydb-core/src/db/query/plan/expr/projection_eval.rs	540	22	91	4.14	15	13	2	2	35
db::data::persisted_row::codec	crates/icydb-core/src/db/data/persisted_row/codec.rs	1787	18	75	4.17	16	16	2	6	34
db::query::explain::render	crates/icydb-core/src/db/query/explain/render.rs	282	1	1	1.00	33	33	2	1	34
db::executor::aggregate::runtime::grouped_fold	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/mod.rs	1262	8	19	2.38	25	25	2	4	33
db::sql::parser::order_expr	crates/icydb-core/src/db/sql/parser/order_expr.rs	542	5	60	12.00	32	28	2	2	33
db::query::plan::covering	crates/icydb-core/src/db/query/plan/covering/mod.rs	541	6	14	2.33	27	27	2	3	33
db::query::plan::semantics::logical	crates/icydb-core/src/db/query/plan/semantics/logical.rs	683	13	31	2.38	19	19	2	3	32
db::query::plan::planner::index_select	crates/icydb-core/src/db/query/plan/planner/index_select.rs	397	16	53	3.31	17	16	3	3	32
db::query::plan::planner::range::extract	crates/icydb-core/src/db/query/plan/planner/range/extract.rs	345	10	30	3.00	22	22	3	3	32
db::predicate::runtime	crates/icydb-core/src/db/predicate/runtime/mod.rs	817	18	98	5.44	13	13	2	3	31
db::executor::explain::descriptor::shared	crates/icydb-core/src/db/executor/explain/descriptor/shared/mod.rs	637	13	45	3.46	19	18	2	2	31
db::data::structural_field::scalar	crates/icydb-core/src/db/data/structural_field/scalar.rs	463	13	60	4.62	18	18	2	5	31
db::query::plan::expr::preview	crates/icydb-core/src/db/query/plan/expr/preview.rs	374	24	88	3.67	9	7	2	2	31
db::query::plan::expr::function_semantics	crates/icydb-core/src/db/query/plan/expr/function_semantics.rs	742	21	128	6.10	9	9	2	3	30
db::scalar_expr	crates/icydb-core/src/db/scalar_expr.rs	436	25	145	5.80	6	5	2	5	30
db::query::predicate::validate	crates/icydb-core/src/db/query/predicate/validate.rs	403	4	18	4.50	30	26	2	2	30
db::query::plan::expr::ast	crates/icydb-core/src/db/query/plan/expr/ast.rs	629	22	135	6.14	7	7	3	2	29
db::query::plan::planner::compare	crates/icydb-core/src/db/query/plan/planner/compare.rs	301	7	24	3.43	22	22	3	3	29
db::executor::prepared_execution_plan	crates/icydb-core/src/db/executor/prepared_execution_plan.rs	1053	7	20	2.86	21	21	1	3	28
