module	file	loc	match_count	match_arms_total	avg_match_arms	if_count	if_chain_count	max_branch_depth	fanout	branch_sites_total
db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	397	11	43	3.91	31	31	2	3	42
db::access::capabilities	crates/icydb-core/src/db/access/capabilities.rs	310	8	18	2.25	3	3	2	1	11
db::access::execution_contract::executable	crates/icydb-core/src/db/access/execution_contract/executable.rs	61	2	5	2.50	0	0	1	1	2
db::access::execution_contract	crates/icydb-core/src/db/access/execution_contract/mod.rs	8	0	0	0.00	0	0	0	0	0
db::access::execution_contract::summary	crates/icydb-core/src/db/access/execution_contract/summary.rs	133	5	18	3.60	9	8	4	2	13
db::access::execution_contract::types	crates/icydb-core/src/db/access/execution_contract/types.rs	122	4	13	3.25	6	6	1	2	10
db::access::lowering	crates/icydb-core/src/db/access/lowering.rs	305	3	8	2.67	0	0	1	4	3
db::access	crates/icydb-core/src/db/access/mod.rs	30	0	0	0.00	0	0	0	0	0
db::access::model_only	crates/icydb-core/src/db/access/model_only.rs	21	0	0	0.00	0	0	0	2	0
db::access::path	crates/icydb-core/src/db/access/path.rs	616	23	71	3.09	6	6	4	3	29
db::access::plan	crates/icydb-core/src/db/access/plan.rs	223	3	8	2.67	11	11	2	3	14
db::access::validate	crates/icydb-core/src/db/access/validate.rs	410	5	18	3.60	27	27	2	4	32
db::codec::hash_stream	crates/icydb-core/src/db/codec/hash_stream.rs	32	0	0	0.00	0	0	0	0	0
db::codec::hex	crates/icydb-core/src/db/codec/hex.rs	11	0	0	0.00	0	0	0	0	0
db::codec	crates/icydb-core/src/db/codec/mod.rs	98	0	0	0.00	5	5	1	1	5
db::commit::apply	crates/icydb-core/src/db/commit/apply.rs	35	0	0	0.00	3	3	1	1	3
db::commit::guard	crates/icydb-core/src/db/commit/guard.rs	125	1	3	3.00	6	6	1	2	7
db::commit::marker	crates/icydb-core/src/db/commit/marker.rs	412	0	0	0.00	17	17	1	3	17
db::commit::memory	crates/icydb-core/src/db/commit/memory.rs	71	1	4	4.00	4	4	2	2	5
db::commit	crates/icydb-core/src/db/commit/mod.rs	63	0	0	0.00	0	0	0	2	0
db::commit::prepare	crates/icydb-core/src/db/commit/prepare.rs	666	3	7	2.33	16	16	3	6	19
db::commit::prepared_op	crates/icydb-core/src/db/commit/prepared_op.rs	97	2	8	4.00	0	0	1	1	2
db::commit::rebuild	crates/icydb-core/src/db/commit/rebuild.rs	121	1	3	3.00	2	2	1	3	3
db::commit::recovery	crates/icydb-core/src/db/commit/recovery.rs	84	0	0	0.00	8	8	1	3	8
db::commit::replay	crates/icydb-core/src/db/commit/replay.rs	26	1	2	2.00	0	0	1	3	1
db::commit::rollback	crates/icydb-core/src/db/commit/rollback.rs	48	0	0	0.00	0	0	0	1	0
db::commit::store::bytes	crates/icydb-core/src/db/commit/store/bytes.rs	17	0	0	0.00	0	0	0	1	0
db::commit::store::control_slot	crates/icydb-core/src/db/commit/store/control_slot.rs	150	0	0	0.00	8	8	1	2	8
