enum	module	function	line	kind
AccessPath	db::access::path	map_keys	238	match_or_if_let
AccessPath	db::query::access::access_visitor	visit_by_key	17	match_or_if_let
AccessPath	db::query::access::access_visitor	visit_by_keys	18	match_or_if_let
AccessPath	db::query::access::access_visitor	visit_explain_access_path	48	match_or_if_let
AccessPath	db::query::access::access_visitor	visit_full_scan	42	match_or_if_let
AccessPath	db::query::access::access_visitor	visit_index_multi_lookup	27	match_or_if_let
AccessPath	db::query::access::access_visitor	visit_index_prefix	20	match_or_if_let
AccessPath	db::query::access::access_visitor	visit_index_range	33	match_or_if_let
AccessPath	db::query::access::access_visitor	visit_intersection	44	match_or_if_let
AccessPath	db::query::access::access_visitor	visit_key_range	19	match_or_if_let
AccessPath	db::query::access::access_visitor	visit_union	43	match_or_if_let
AccessPath	db::query::explain::plan	explain_scalar_inner	600	match_or_if_let
AccessPath	db::query::intent::query	plan_predicate_pushdown_label	388	match_or_if_let
AccessPath	db::query::plan::access_choice	chosen_access_shape_projection	306	match_or_if_let
AccessPath	db::query::plan::access_choice	project_access_choice_explain_snapshot	196	match_or_if_let
AccessPathKind	db::diagnostics::execution_trace	access_path_variant	328	match_or_if_let
CursorOrderPlanShapeError	db::cursor	validated_cursor_order_internal	257	match_or_if_let
CursorOrderPlanShapeError	db::query::plan::validate::cursor_policy	validate_cursor_order_plan_shape	24	match_or_if_let
CursorPagingPolicyError	db::query::intent::errors	from	177	match_or_if_let
CursorPagingPolicyError	db::query::plan::validate::fluent_policy	validate_fluent_paged_mode	100	match_or_if_let
CursorPlanError	db::cursor	map_pk_cursor_decode_error	163	match_or_if_let
CursorPlanError	db::cursor	validated_cursor_order_internal	257	match_or_if_let
CursorPlanError	db::cursor::anchor	validate_index_range_anchor	209	match_or_if_let
CursorPlanError	db::cursor::anchor	validate_index_range_boundary_anchor_consistency	264	match_or_if_let
CursorPlanError	db::cursor::boundary	decode_typed_primary_key_cursor_slot	226	match_or_if_let
CursorPlanError	db::cursor::boundary	validate_cursor_boundary_types	163	match_or_if_let
CursorPlanError	db::cursor::boundary	validate_cursor_direction	105	match_or_if_let
CursorPlanError	db::cursor::validation	validate_cursor_compatibility	32	match_or_if_let
CursorPlanError	db::error::cursor	from_cursor_plan_error	26	match_or_if_let
CursorPlanError	db::query::plan::continuation	validate_grouped_cursor_policy	399	match_or_if_let
ErrorClass	db::commit::prepare	prepare_row_commit_for_entity_impl	50	match_or_if_let
ErrorClass	db::diagnostics	classify_scan_error	884	match_or_if_let
ErrorClass	db::query::intent::errors	assert_execute_variant_for_class	228	match_or_if_let
ErrorClass	db::query::intent::errors	from	94	match_or_if_let
ErrorClass	db::session::sql	execute_sql_projection	266	match_or_if_let
ErrorClass	db::session::sql	explain_sql	391	match_or_if_let
ErrorClass	db::session::sql	map_sql_lowering_error	53	match_or_if_let
ErrorClass	db::session::sql	query_from_sql	206	match_or_if_let
ErrorClass	db::session::sql	sql_projection_columns	226	match_or_if_let
ErrorClass	error	new	130	match_or_if_let
PlanError	db::access::validate	validate_index_range_bound_value	371	match_or_if_let
PlanError	db::cursor	map_pk_cursor_decode_error	163	match_or_if_let
PlanError	db::cursor	validated_cursor_order_internal	257	match_or_if_let
PlanError	db::cursor::anchor	validate_index_range_anchor	209	match_or_if_let
PlanError	db::cursor::anchor	validate_index_range_boundary_anchor_consistency	264	match_or_if_let
PlanError	db::cursor::boundary	decode_typed_primary_key_cursor_slot	226	match_or_if_let
PlanError	db::cursor::boundary	validate_cursor_boundary_types	163	match_or_if_let
PlanError	db::cursor::boundary	validate_cursor_direction	105	match_or_if_let
PlanError	db::cursor::validation	validate_cursor_compatibility	32	match_or_if_let
PlanError	db::error::cursor	from_cursor_plan_error	26	match_or_if_let
PlanError	db::error::planner	from_group_plan_error	33	match_or_if_let
PlanError	db::error::planner	plan_invariant_violation	58	match_or_if_let
PlanError	db::query::plan::continuation	validate_grouped_cursor_policy	399	match_or_if_let
PlanError	db::query::plan::expr::type_inference	infer_binary_expr_type	187	match_or_if_let
PlanError	db::query::plan::expr::type_inference	infer_unary_expr_type	154	match_or_if_let
PlanError	db::query::plan::semantics::group_distinct	planner_group_plan_error	104	match_or_if_let
PlanError	db::query::plan::validate::core	validate_group_query_semantics	67	match_or_if_let
PlanError	db::query::plan::validate::grouped::policy	validate_global_distinct_aggregate_without_group_keys	87	match_or_if_let
PlanError	db::query::plan::validate::grouped::policy	validate_grouped_distinct_policy	39	match_or_if_let
PlanError	db::query::plan::validate::grouped::projection_expr	validate_group_projection_expr_compatibility	20	match_or_if_let
PlanError	db::query::plan::validate::grouped::structure	validate_group_spec_structure	104	match_or_if_let
PlanError	db::session	map_executor_plan_error	35	match_or_if_let
PlanPolicyError	db::error::planner	from_group_plan_error	33	match_or_if_let
PolicyPlanError	db::error::planner	plan_invariant_violation	58	match_or_if_let
Predicate	db::index::predicate::compile	compile_index_program_and_subset	65	match_or_if_let
Predicate	db::index::predicate::compile	compile_index_program_from_resolved	51	match_or_if_let
Predicate	db::index::predicate::compile	compile_index_program_from_resolved_full	95	match_or_if_let
Predicate	db::predicate::encoding	encode_predicate_sort_key_into	45	match_or_if_let
Predicate	db::predicate::encoding	hash_predicate_fingerprint	267	match_or_if_let
Predicate	db::predicate::normalize	normalize	35	match_or_if_let
Predicate	db::predicate::normalize	normalize_and	329	match_or_if_let
Predicate	db::predicate::normalize	normalize_enum_literals	81	match_or_if_let
Predicate	db::predicate::normalize	normalize_not	308	match_or_if_let
Predicate	db::predicate::normalize	normalize_or	375	match_or_if_let
Predicate	db::predicate::runtime	compile_predicate_program	65	match_or_if_let
Predicate	db::predicate::runtime	eval_with_resolved_slots	151	match_or_if_let
Predicate	db::predicate::simplify	simplify_and_compare_constraints	26	match_or_if_let
Predicate	db::query::explain::plan	explain_scalar_inner	600	match_or_if_let
Predicate	db::query::explain::plan	from_predicate	664	match_or_if_let
Predicate	db::query::explain::plan	predicate_model_for_hash	119	match_or_if_let
Predicate	db::query::intent::mutation	append_predicate	22	match_or_if_let
Predicate	db::query::intent::query	explain_predicate_contains_empty_prefix_starts_with	467	match_or_if_let
Predicate	db::query::intent::query	explain_predicate_contains_is_null	447	match_or_if_let
Predicate	db::query::intent::query	explain_predicate_contains_non_strict_compare	427	match_or_if_let
Predicate	db::query::intent::query	explain_predicate_contains_text_scan_operator	492	match_or_if_let
Predicate	db::query::intent::query	plan_predicate_pushdown_label	388	match_or_if_let
Predicate	db::query::plan::access_choice	evaluate_prefix_candidate	423	match_or_if_let
Predicate	db::query::plan::access_choice	evaluate_range_candidate	659	match_or_if_let
Predicate	db::query::plan::constant_predicate	fold_constant_predicate	15	match_or_if_let
Predicate	db::query::plan::planner::index_select	collect_query_compare_clauses	206	match_or_if_let
Predicate	db::query::plan::planner::index_select	collect_required_compare_clauses	167	match_or_if_let
Predicate	db::query::plan::planner::index_select	query_compare_clauses	119	match_or_if_let
Predicate	db::query::plan::planner::index_select	required_compare_clauses	155	match_or_if_let
Predicate	db::query::plan::planner::predicate	plan_predicate	17	match_or_if_let
Predicate	db::query::plan::planner::predicate	plan_strict_same_field_eq_or	90	match_or_if_let
Predicate	db::query::plan::planner::prefix	index_prefix_from_and	95	match_or_if_let
Predicate	db::query::plan::planner::range	index_range_from_and	70	match_or_if_let
Predicate	db::schema::validate	reject_unsupported_query_features	18	match_or_if_let
Predicate	db::schema::validate	validate	44	match_or_if_let
Predicate	db::sql::lowering	normalize_predicate_identifiers	554	match_or_if_let
Predicate	db::sql::parser	predicate_compare	1337	match_or_if_let
PreparedIndexDeltaKind	db::commit::prepare	prepare_row_commit_for_entity_impl	50	match_or_if_let
PreparedIndexDeltaKind	db::executor::mutation::commit_window	summarize_prepared_row_ops	204	match_or_if_let
PreparedIndexDeltaKind	db::relation::reverse_index	prepare_reverse_relation_index_mutations_for_source	199	match_or_if_let
QueryError	db::query::fluent::load::builder	plan	231	match_or_if_let
QueryError	db::query::fluent::load::builder	planned	222	match_or_if_let
QueryError	db::query::fluent::load::validation	ensure_non_paged_mode_ready	69	match_or_if_let
QueryError	db::query::fluent::load::validation	ensure_paged_mode_ready	61	match_or_if_let
QueryError	db::query::intent::model	sort_expr	86	match_or_if_let
QueryError	db::session	map_executor_plan_error	35	match_or_if_let
QueryError	db::session::query	execute_load_query_paged_with_trace	105	match_or_if_let
QueryError	db::session::query	execute_query	19	match_or_if_let
QueryError	db::session::query	trace_query	53	match_or_if_let
QueryError	db::session::sql	execute_sql_projection	266	match_or_if_let
QueryError	db::session::sql	explain_sql	391	match_or_if_let
QueryError	db::session::sql	map_sql_lowering_error	53	match_or_if_let
QueryError	db::session::sql	query_from_sql	206	match_or_if_let
QueryError	db::session::sql	sql_projection_columns	226	match_or_if_let
RouteShapeKind	db::executor::route::planner::execution	derive_route_execution_stage	66	match_or_if_let
RouteShapeKind	db::executor::route::planner::execution::shape_aggregate_count	build_execution_stage_for_aggregate_count	34	match_or_if_let
StoreError	error	new	130	match_or_if_let
StoreRegistryError	db::registry	register_store	130	match_or_if_let
