feature_slice	status	path	subsystem	layer
0.179.0 dry cleanup foundation	M	CHANGELOG.md	docs/governance	docs/governance
0.179.0 dry cleanup foundation	M	crates/icydb-core/src/db/relation/mod.rs	storage/recovery	core/runtime
0.179.0 dry cleanup foundation	M	crates/icydb-core/src/db/relation/reverse_index.rs	storage/recovery	core/runtime
0.179.0 dry cleanup foundation	M	crates/icydb-core/src/db/relation/save_validate.rs	storage/recovery	core/runtime
0.179.0 dry cleanup foundation	M	crates/icydb-core/src/db/schema/reconcile.rs	storage/recovery	core/runtime
0.179.0 dry cleanup foundation	M	crates/icydb-core/src/db/session/sql/execute/mod.rs	executor/runtime	core/runtime
0.179.0 dry cleanup foundation	A	docs/audits/reports/2026-06/2026-06-04/artifacts/dry-consolidation/dry-consolidation-module-pressure.tsv	docs/governance	docs/governance
0.179.0 dry cleanup foundation	A	docs/audits/reports/2026-06/2026-06-04/artifacts/dry-consolidation/dry-consolidation-pattern-counts.tsv	docs/governance	docs/governance
0.179.0 dry cleanup foundation	A	docs/audits/reports/2026-06/2026-06-04/dry-consolidation.md	docs/governance	docs/governance
0.179.0 dry cleanup foundation	A	docs/changelog/0.179.md	docs/governance	docs/governance
0.179.1 structure and complexity cleanup	M	CHANGELOG.md	docs/governance	docs/governance
0.179.1 structure and complexity cleanup	M	Cargo.toml	docs/governance	docs/governance
0.179.1 structure and complexity cleanup	M	crates/icydb-cli/Cargo.toml	facade/adapters	cli/facade
0.179.1 structure and complexity cleanup	M	crates/icydb-cli/src/cli/mod.rs	facade/adapters	cli/facade
0.179.1 structure and complexity cleanup	M	crates/icydb-core/src/db/query/plan/access_choice/evaluator/range.rs	planner/query	core/runtime
0.179.1 structure and complexity cleanup	A	crates/icydb-core/src/db/query/plan/access_choice/evaluator/range/constraints.rs	planner/query	core/runtime
0.179.1 structure and complexity cleanup	M	crates/icydb-core/src/db/relation/reverse_index.rs	storage/recovery	core/runtime
0.179.1 structure and complexity cleanup	A	crates/icydb-core/src/db/relation/reverse_index/target_keys.rs	storage/recovery	core/runtime
0.179.1 structure and complexity cleanup	M	crates/icydb-core/src/db/schema/integrity.rs	storage/recovery	core/runtime
0.179.1 structure and complexity cleanup	A	crates/icydb-core/src/db/schema/integrity/index.rs	storage/recovery	core/runtime
0.179.1 structure and complexity cleanup	A	crates/icydb-core/src/db/schema/integrity/relation.rs	storage/recovery	core/runtime
0.179.1 structure and complexity cleanup	M	crates/icydb-core/src/db/schema/reconcile.rs	storage/recovery	core/runtime
0.179.1 structure and complexity cleanup	A	crates/icydb-core/src/db/schema/reconcile/sql_ddl.rs	storage/recovery	core/runtime
0.179.1 structure and complexity cleanup	A	crates/icydb-core/src/db/schema/reconcile/sql_ddl/field_metadata.rs	storage/recovery	core/runtime
0.179.1 structure and complexity cleanup	M	crates/icydb-core/src/db/schema/transition.rs	storage/recovery	core/runtime
0.179.1 structure and complexity cleanup	A	crates/icydb-core/src/db/schema/transition/admission.rs	storage/recovery	core/runtime
0.179.1 structure and complexity cleanup	A	crates/icydb-core/src/db/schema/transition/compatibility.rs	storage/recovery	core/runtime
0.179.1 structure and complexity cleanup	A	crates/icydb-core/src/db/session/sql/execute/metadata.rs	executor/runtime	core/runtime
0.179.1 structure and complexity cleanup	M	crates/icydb-core/src/db/session/sql/execute/mod.rs	executor/runtime	core/runtime
0.179.1 structure and complexity cleanup	A	crates/icydb-core/src/db/sql/parser/statement/ddl.rs	planner/query	core/runtime
