module	file	loc	match_count	match_arms_total	avg_match_arms	if_count	if_chain_count	max_branch_depth	fanout	branch_sites_total
db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	526	10	39	3.90	30	30	0	2	40
db::access::capabilities	crates/icydb-core/src/db/access/capabilities.rs	325	8	18	2.25	3	3	0	1	11
db::access::execution_contract::executable	crates/icydb-core/src/db/access/execution_contract/executable.rs	84	2	5	2.50	0	0	0	1	2
db::access::execution_contract	crates/icydb-core/src/db/access/execution_contract/mod.rs	12	0	0	0.00	0	0	0	0	0
db::access::execution_contract::summary	crates/icydb-core/src/db/access/execution_contract/summary.rs	134	5	18	3.60	9	9	0	1	14
db::access::execution_contract::types	crates/icydb-core/src/db/access/execution_contract/types.rs	141	4	14	3.50	6	6	0	1	10
db::access::lowering	crates/icydb-core/src/db/access/lowering.rs	306	3	8	2.67	0	0	0	1	3
db::access	crates/icydb-core/src/db/access/mod.rs	33	0	0	0.00	0	0	0	0	0
db::access::path	crates/icydb-core/src/db/access/path.rs	298	9	29	3.22	0	0	0	1	9
db::access::plan	crates/icydb-core/src/db/access/plan.rs	306	3	8	2.67	11	11	0	2	14
db::access::validate	crates/icydb-core/src/db/access/validate.rs	396	8	18	2.25	27	27	0	1	35
db::codec::hash_stream	crates/icydb-core/src/db/codec/hash_stream.rs	44	0	0	0.00	0	0	0	0	0
db::codec::hex	crates/icydb-core/src/db/codec/hex.rs	34	0	0	0.00	0	0	0	1	0
db::codec	crates/icydb-core/src/db/codec/mod.rs	130	1	0	0.00	5	5	0	1	6
db::commit::apply	crates/icydb-core/src/db/commit/apply.rs	48	0	0	0.00	3	3	0	1	3
db::commit::guard	crates/icydb-core/src/db/commit/guard.rs	192	1	5	5.00	6	6	0	1	7
db::commit::marker	crates/icydb-core/src/db/commit/marker.rs	502	0	0	0.00	17	17	0	1	17
db::commit::memory	crates/icydb-core/src/db/commit/memory.rs	111	1	4	4.00	4	4	0	2	5
db::commit	crates/icydb-core/src/db/commit/mod.rs	92	0	0	0.00	1	1	0	2	1
db::commit::prepare	crates/icydb-core/src/db/commit/prepare.rs	740	3	7	2.33	16	16	0	1	19
db::commit::prepared_op	crates/icydb-core/src/db/commit/prepared_op.rs	175	2	8	4.00	0	0	0	3	2
db::commit::rebuild	crates/icydb-core/src/db/commit/rebuild.rs	148	1	3	3.00	3	3	0	1	4
db::commit::recovery	crates/icydb-core/src/db/commit/recovery.rs	130	0	0	0.00	10	10	0	1	10
db::commit::replay	crates/icydb-core/src/db/commit/replay.rs	40	1	2	2.00	0	0	0	1	1
db::commit::rollback	crates/icydb-core/src/db/commit/rollback.rs	67	0	0	0.00	0	0	0	1	0
db::commit::store::bytes	crates/icydb-core/src/db/commit/store/bytes.rs	22	0	0	0.00	0	0	0	1	0
db::commit::store::control_slot	crates/icydb-core/src/db/commit/store/control_slot.rs	186	0	0	0.00	8	8	0	1	8
db::commit::store::marker_envelope	crates/icydb-core/src/db/commit/store/marker_envelope.rs	106	0	0	0.00	5	5	0	1	5
db::commit::store	crates/icydb-core/src/db/commit/store/mod.rs	309	0	0	0.00	10	10	0	4	10
db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	252	1	2	2.00	11	11	0	1	12
db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	329	8	28	3.50	8	8	0	1	16
db::cursor::continuation	crates/icydb-core/src/db/cursor/continuation.rs	235	0	0	0.00	3	3	0	1	3
db::cursor::error	crates/icydb-core/src/db/cursor/error.rs	350	9	12	1.33	0	0	0	1	9
db::cursor	crates/icydb-core/src/db/cursor/mod.rs	207	0	0	0.00	1	1	0	1	1
db::cursor::planned	crates/icydb-core/src/db/cursor/planned.rs	112	0	0	0.00	0	0	0	2	0
db::cursor::runtime	crates/icydb-core/src/db/cursor/runtime.rs	188	0	0	0.00	6	6	0	1	6
db::cursor::signature	crates/icydb-core/src/db/cursor/signature.rs	34	0	0	0.00	0	0	0	1	0
db::cursor::spine	crates/icydb-core/src/db/cursor/spine.rs	309	1	0	0.00	4	4	0	1	5
db::cursor::string	crates/icydb-core/src/db/cursor/string.rs	132	1	4	4.00	3	3	0	3	4
db::cursor::token::bytes	crates/icydb-core/src/db/cursor/token/bytes.rs	136	0	0	0.00	1	1	0	1	1
db::cursor::token::codec	crates/icydb-core/src/db/cursor/token/codec.rs	253	6	15	2.50	4	4	0	1	10
db::cursor::token::error	crates/icydb-core/src/db/cursor/token/error.rs	25	0	0	0.00	0	0	0	0	0
db::cursor::token::grouped	crates/icydb-core/src/db/cursor/token/grouped.rs	175	0	0	0.00	0	0	0	3	0
db::cursor::token	crates/icydb-core/src/db/cursor/token/mod.rs	38	0	0	0.00	0	0	0	0	0
db::cursor::token::scalar	crates/icydb-core/src/db/cursor/token/scalar.rs	192	1	2	2.00	0	0	0	3	1
db::cursor::token::value	crates/icydb-core/src/db/cursor/token/value.rs	350	7	62	8.86	2	2	0	1	9
db::data::entity_decode	crates/icydb-core/src/db/data/entity_decode.rs	65	0	0	0.00	1	1	0	1	1
db::data::key	crates/icydb-core/src/db/data/key.rs	632	1	0	0.00	5	5	0	2	6
db::data	crates/icydb-core/src/db/data/mod.rs	85	0	1	0.00	0	0	0	0	0
db::data::persisted_row::codec::by_kind	crates/icydb-core/src/db/data/persisted_row/codec/by_kind.rs	586	3	43	14.33	7	7	0	1	10
db::data::persisted_row::codec::meta	crates/icydb-core/src/db/data/persisted_row/codec/meta.rs	229	2	0	0.00	0	0	0	1	2
db::data::persisted_row::codec	crates/icydb-core/src/db/data/persisted_row/codec/mod.rs	138	3	9	3.00	0	0	0	2	3
db::data::persisted_row::codec::scalar	crates/icydb-core/src/db/data/persisted_row/codec/scalar.rs	702	7	61	8.71	5	5	0	1	12
db::data::persisted_row::codec::slot	crates/icydb-core/src/db/data/persisted_row/codec/slot.rs	271	0	36	0.00	0	0	0	1	0
db::data::persisted_row::codec::strategy	crates/icydb-core/src/db/data/persisted_row/codec/strategy.rs	29	1	2	2.00	0	0	0	1	1
db::data::persisted_row::codec::structured	crates/icydb-core/src/db/data/persisted_row/codec/structured.rs	381	2	2	1.00	2	2	0	1	4
db::data::persisted_row::codec::traversal	crates/icydb-core/src/db/data/persisted_row/codec/traversal.rs	310	1	0	0.00	4	4	0	1	5
db::data::persisted_row::contract	crates/icydb-core/src/db/data/persisted_row/contract.rs	972	23	66	2.87	23	23	0	2	46
db::data::persisted_row	crates/icydb-core/src/db/data/persisted_row/mod.rs	64	0	0	0.00	0	0	0	0	0
db::data::persisted_row::patch	crates/icydb-core/src/db/data/persisted_row/patch.rs	556	0	0	0.00	6	6	0	2	6
db::data::persisted_row::reader::cache	crates/icydb-core/src/db/data/persisted_row/reader/cache.rs	185	5	34	6.80	0	0	0	1	5
db::data::persisted_row::reader::core	crates/icydb-core/src/db/data/persisted_row/reader/core.rs	657	10	25	2.50	28	28	0	3	38
db::data::persisted_row::reader::direct	crates/icydb-core/src/db/data/persisted_row/reader/direct.rs	364	4	8	2.00	3	3	0	1	7
db::data::persisted_row::reader::metrics	crates/icydb-core/src/db/data/persisted_row/reader/metrics.rs	188	0	0	0.00	9	9	0	1	9
db::data::persisted_row::reader	crates/icydb-core/src/db/data/persisted_row/reader/mod.rs	17	0	0	0.00	0	0	0	0	0
db::data::persisted_row::reader::primary_key	crates/icydb-core/src/db/data/persisted_row/reader/primary_key.rs	279	11	46	4.18	6	6	0	1	17
db::data::persisted_row::types	crates/icydb-core/src/db/data/persisted_row/types.rs	326	0	0	0.00	0	0	0	1	0
db::data::persisted_row::writer	crates/icydb-core/src/db/data/persisted_row/writer.rs	110	1	2	2.00	1	1	0	1	2
db::data::row	crates/icydb-core/src/db/data/row.rs	198	0	0	0.00	1	1	0	3	1
db::data::storage	crates/icydb-core/src/db/data/storage.rs	46	0	0	0.00	0	0	0	0	0
db::data::store	crates/icydb-core/src/db/data/store.rs	108	0	0	0.00	0	0	0	1	0
db::data::structural_field::accepted	crates/icydb-core/src/db/data/structural_field/accepted.rs	721	8	47	5.88	13	13	0	2	21
db::data::structural_field::binary	crates/icydb-core/src/db/data/structural_field/binary.rs	684	4	20	5.00	9	9	0	2	13
db::data::structural_field::composite	crates/icydb-core/src/db/data/structural_field/composite.rs	562	5	19	3.80	12	12	0	7	17
db::data::structural_field::encode	crates/icydb-core/src/db/data/structural_field/encode.rs	41	0	0	0.00	3	3	0	2	3
db::data::structural_field::leaf	crates/icydb-core/src/db/data/structural_field/leaf.rs	682	8	31	3.88	20	20	0	3	28
db::data::structural_field	crates/icydb-core/src/db/data/structural_field/mod.rs	488	0	0	0.00	10	10	0	2	10
db::data::structural_field::primitive	crates/icydb-core/src/db/data/structural_field/primitive.rs	49	0	0	0.00	0	0	0	1	0
db::data::structural_field::scalar	crates/icydb-core/src/db/data/structural_field/scalar.rs	495	13	60	4.62	18	18	0	5	31
db::data::structural_field::storage_key::decode	crates/icydb-core/src/db/data/structural_field/storage_key/decode.rs	323	5	30	6.00	16	16	0	1	21
db::data::structural_field::storage_key::encode	crates/icydb-core/src/db/data/structural_field/storage_key/encode.rs	137	5	14	2.80	3	3	0	1	8
db::data::structural_field::storage_key	crates/icydb-core/src/db/data/structural_field/storage_key/mod.rs	101	1	4	4.00	0	0	0	1	1
db::data::structural_field::storage_key::scalar::account	crates/icydb-core/src/db/data/structural_field/storage_key/scalar/account.rs	62	1	2	2.00	4	4	0	1	5
db::data::structural_field::storage_key::scalar::bytes	crates/icydb-core/src/db/data/structural_field/storage_key/scalar/bytes.rs	95	0	0	0.00	6	6	0	1	6
db::data::structural_field::storage_key::scalar::encode	crates/icydb-core/src/db/data/structural_field/storage_key/scalar/encode.rs	63	2	11	5.50	0	0	0	1	2
db::data::structural_field::storage_key::scalar	crates/icydb-core/src/db/data/structural_field/storage_key/scalar/mod.rs	14	0	0	0.00	0	0	0	0	0
db::data::structural_field::storage_key::scalar::primitive	crates/icydb-core/src/db/data/structural_field/storage_key/scalar/primitive.rs	114	0	0	0.00	8	8	0	1	8
db::data::structural_field::typed	crates/icydb-core/src/db/data/structural_field/typed.rs	201	0	0	0.00	3	3	0	1	3
db::data::structural_field::value_storage::decode::cursor	crates/icydb-core/src/db/data/structural_field/value_storage/decode/cursor.rs	146	1	12	12.00	2	2	0	1	3
db::data::structural_field::value_storage::decode	crates/icydb-core/src/db/data/structural_field/value_storage/decode/mod.rs	70	0	0	0.00	1	1	0	1	1
