module	file	loc	match_count	match_arms_total	avg_match_arms	if_count	if_chain_count	max_branch_depth	fanout	branch_sites_total
db::data::persisted_row::contract	crates/icydb-core/src/db/data/persisted_row/contract.rs	972	23	66	2.87	23	23	0	2	46
metrics::sink	crates/icydb-core/src/metrics/sink.rs	2743	43	236	5.49	2	2	0	1	45
db::query::plan::access_choice::evaluator::range	crates/icydb-core/src/db/query/plan/access_choice/evaluator/range.rs	416	10	26	2.60	34	34	0	1	44
db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	526	10	39	3.90	30	30	0	2	40
db::schema::transition	crates/icydb-core/src/db/schema/transition.rs	1196	2	0	0.00	36	36	0	2	38
db::data::persisted_row::reader::core	crates/icydb-core/src/db/data/persisted_row/reader/core.rs	657	10	25	2.50	28	28	0	3	38
db::query::plan::expr::projection_eval	crates/icydb-core/src/db/query/plan/expr/projection_eval.rs	621	23	87	3.78	15	15	0	1	38
db::sql::parser::order_expr	crates/icydb-core/src/db/sql/parser/order_expr.rs	612	6	67	11.17	32	32	0	1	38
db::query::predicate::validate	crates/icydb-core/src/db/query/predicate/validate.rs	422	7	18	2.57	30	30	0	1	37
db::query::plan::semantics::logical	crates/icydb-core/src/db/query/plan/semantics/logical.rs	850	13	31	2.38	23	23	0	1	36
db::access::validate	crates/icydb-core/src/db/access/validate.rs	396	8	18	2.25	27	27	0	1	35
model::field	crates/icydb-core/src/model/field.rs	1061	13	67	5.15	21	21	0	2	34
db::query::plan::covering	crates/icydb-core/src/db/query/plan/covering/mod.rs	835	6	14	2.33	28	28	0	2	34
db::query::plan::expr::predicate::compile	crates/icydb-core/src/db/query/plan/expr/predicate/compile.rs	690	20	82	4.10	14	14	0	1	34
db::query::plan::expr::preview	crates/icydb-core/src/db/query/plan/expr/preview.rs	444	25	93	3.72	9	9	0	1	34
db::sql::parser::projection	crates/icydb-core/src/db/sql/parser/projection/mod.rs	350	5	33	6.60	29	29	0	1	34
db::query::explain::render	crates/icydb-core/src/db/query/explain/render.rs	299	1	1	1.00	33	33	0	2	34
db::executor::aggregate::projection	crates/icydb-core/src/db/executor/aggregate/projection/mod.rs	907	9	31	3.44	24	24	0	1	33
db::session::sql::execute::write	crates/icydb-core/src/db/session/sql/execute/write.rs	679	9	12	1.33	24	24	0	1	33
db::query::plan::planner::index_select	crates/icydb-core/src/db/query/plan/planner/index_select.rs	431	16	53	3.31	17	17	0	1	33
db::predicate::runtime	crates/icydb-core/src/db/predicate/runtime/mod.rs	997	18	98	5.44	14	14	0	3	32
db::scalar_expr	crates/icydb-core/src/db/scalar_expr.rs	691	26	136	5.23	6	6	0	3	32
db::executor::mutation::save_validation	crates/icydb-core/src/db/executor/mutation/save_validation.rs	656	9	31	3.44	23	23	0	2	32
db::query::plan::planner::range::extract	crates/icydb-core/src/db/query/plan/planner/range/extract.rs	372	10	30	3.00	22	22	0	1	32
db::predicate::normalize	crates/icydb-core/src/db/predicate/normalize.rs	894	12	60	5.00	19	19	0	2	31
db::data::structural_field::scalar	crates/icydb-core/src/db/data/structural_field/scalar.rs	495	13	60	4.62	18	18	0	5	31
db::query::plan::expr::ast	crates/icydb-core/src/db/query/plan/expr/ast.rs	843	23	155	6.74	7	7	0	1	30
db::executor::explain::descriptor::shared	crates/icydb-core/src/db/executor/explain/descriptor/shared/mod.rs	636	11	38	3.45	19	19	0	1	30
db::query::plan::expr::canonicalize::normalize	crates/icydb-core/src/db/query/plan/expr/canonicalize/normalize.rs	492	17	77	4.53	13	13	0	1	30
db::executor::aggregate::contracts::state::reducer	crates/icydb-core/src/db/executor/aggregate/contracts/state/reducer.rs	380	27	72	2.67	3	3	0	1	30
types::decimal::arithmetic	crates/icydb-core/src/types/decimal/arithmetic.rs	374	1	3	3.00	29	29	0	1	30
db::executor::terminal::page::post_access	crates/icydb-core/src/db/executor/terminal/page/post_access.rs	260	3	7	2.33	27	27	0	1	30
db::index::predicate::compile	crates/icydb-core/src/db/index/predicate/compile.rs	432	16	57	3.56	13	13	0	1	29
db::query::plan::planner::compare	crates/icydb-core/src/db/query/plan/planner/compare.rs	334	7	24	3.43	22	22	0	1	29
db::sql::parser::model	crates/icydb-core/src/db/sql/parser/model.rs	948	14	92	6.57	14	14	0	1	28
db::data::structural_field::leaf	crates/icydb-core/src/db/data/structural_field/leaf.rs	682	8	31	3.88	20	20	0	3	28
db::executor::stream::access::physical	crates/icydb-core/src/db/executor/stream/access/physical.rs	674	3	12	4.00	25	25	0	1	28
db::index::key::build	crates/icydb-core/src/db/index/key/build.rs	629	11	23	2.09	16	16	0	2	27
model::field_kind_semantics	crates/icydb-core/src/model/field_kind_semantics.rs	608	26	101	3.88	1	1	0	2	27
db::executor::aggregate::contracts::state::grouped	crates/icydb-core/src/db/executor/aggregate/contracts/state/grouped.rs	513	10	26	2.60	17	17	0	1	27
